DGP,m_Dropped,Gamma,Gamma_SD,Oracle_Gamma,Oracle_Gamma_SD,Theoretical,Recovery,Recovery_SD,Oracle_Recovery,Oracle_Recovery_SD
beta_bell,1,2.5227253260423943,0.16541172487410813,2.470949703471697,0.04670168619457471,2.718281828459045,0.9280587831735205,0.06085157290989129,0.9090115960759089,0.017180590219024187
beta_bell,2,4.403924295774553,0.551221917439978,4.132558527403438,0.24604016200425846,6.6858944422792685,0.6586888760800155,0.08244550107675086,0.6181010728004582,0.036799887304290395
beta_bell,3,6.3188216576872325,1.139804002642275,6.002078811150075,0.7546816279128243,14.879731724872837,0.4246596494159059,0.07660111242039315,0.4033727840077284,0.05071876575915037
beta_bell,4,8.30397388167461,2.7349538414966417,7.846250436802326,2.0291316814508837,29.96410004739703,0.27713076209662346,0.09127435288129826,0.26185503400373034,0.06771875939011071
beta_bell,5,9.749399317789557,3.9369175584948453,9.14004677261399,2.7420680015163543,54.598150033144236,0.17856647728670488,0.07210716033610862,0.16740579611333814,0.050222727324126554
beta_bell,6,10.276730867259719,3.6570933453383647,9.69436838261225,2.7329755339639066,90.01713130052181,0.11416416762883608,0.04062663731339286,0.10769470480288516,0.03036061574590595
beta_bell,7,10.675439784889637,3.307656818329291,10.195732728379088,2.448972490446742,134.28977968493552,0.07949554917683133,0.02463074126779835,0.07592337073081692,0.01823647708852012
beta_bell,8,10.853679619615075,3.1195387348888146,10.27140936380796,2.381718814339105,181.27224187515122,0.05987502282390482,0.017209136394072705,0.05666289144745203,0.013138905271439629
beta_bell,9,10.864696248439968,2.9151559452440337,10.245516272886542,2.300294864285679,221.4064162041872,0.049071280022979294,0.01316653778703322,0.04627470354534731,0.010389467946422487
beta_bell,10,10.710293771295584,2.8638263169221707,10.07617965064101,2.3452725414251088,244.69193226422038,0.04377052268209038,0.01170380359671927,0.04117904320507252,0.009584592837710168
beta_u,1,4.612436263022038,0.3290957617014111,2.718281828459045,0.0,2.718281828459045,1.696820474879443,0.12106756490660524,1.0,0.0
beta_u,2,13.354856571961573,1.146252103459209,6.685894418093843,5.391112449308577e-08,6.6858944422792685,1.9974674573846258,0.17144334439543504,0.9999999963826195,8.063412436867984e-09
beta_u,3,28.10211478155511,2.8745654162664107,14.87960856207062,0.00014284370610760782,14.879731724872837,1.8886170329657115,0.1931866427041363,0.9999917227807267,9.599884510612183e-06
beta_u,4,49.41435457688325,4.453641269715508,29.95281262367349,0.012405010522830388,29.96410004739703,1.6491185952095986,0.148632572400665,0.9996233017609178,0.0004139957650390838
beta_u,5,76.558339596471,7.491792384360634,54.484254848815965,0.0902046556372673,54.598150033144236,1.4022149019700423,0.1372169639413182,0.9979139369326775,0.001652155898734819
beta_u,6,107.1496753707919,10.434986433856663,88.76857278713214,1.1504665177201332,90.01713130052181,1.1903253727679142,0.11592222817031911,0.9861297677969612,0.012780528562716643
beta_u,7,138.35771999717525,16.161972259746328,130.31997308735365,3.1638412276566776,134.28977968493552,1.0302922554626548,0.12035146902217576,0.9704385053956031,0.023559806524960692
beta_u,8,167.62496045813276,22.810703248183618,166.7190149217633,8.228574837809894,181.27224187515122,0.9247138928947664,0.12583671395146195,0.9197161859816836,0.0453934631838294
beta_u,9,185.91435908829743,26.449368869733856,184.97307349975148,14.351797072426397,221.4064162041872,0.8396972512162522,0.1194607153811727,0.8354458586654696,0.06482105314956538
beta_u,10,192.96092144903932,29.27131044409752,193.0191626770606,17.670684323989146,244.69193226422038,0.7885871825176423,0.1196251554893527,0.7888252011048608,0.07221604799339357
uniform,1,3.2265101152242623,0.147231323364658,2.71778783726012,0.00026652752151309385,2.718281828459045,1.1869667381227076,0.05416337696232225,0.9998182707937957,9.804999567106332e-05
uniform,2,7.6880819063931085,0.40643536200103636,6.563251320121251,0.04662871429844501,6.6858944422792685,1.149895795209741,0.06078997589774685,0.9816564375616723,0.006974192413745135
uniform,3,14.562833229436128,0.8835819504356965,13.478827409596397,0.558442609613872,14.879731724872837,0.9787026741277207,0.059381578026619114,0.9058515071925187,0.03753042191482422
uniform,4,23.218525931136,2.4293469617629935,22.201497148106256,1.942707162165339,29.96410004739703,0.7748781339806329,0.08107525198221431,0.7409365578471594,0.06483449057680284
uniform,5,32.548811066267916,2.426223895509576,32.17536383212645,2.930132194247301,54.598150033144236,0.5961522697473981,0.044437840733371314,0.5893123450628666,0.05366724316608787
uniform,6,41.85030454706812,5.44504748130371,41.83449162027883,3.890679124203867,90.01713130052181,0.464914888337766,0.06048901362036795,0.46473922258880435,0.04322154092219233
uniform,7,49.91493690170448,6.789658505973415,51.74450533266887,5.957451276522241,134.28977968493552,0.37169572411848917,0.05055975608793908,0.3853197574236062,0.04436265582160711
uniform,8,55.55452862473528,7.967336170087801,57.4135913945815,6.041728276015297,181.27224187515122,0.3064701360233505,0.04395232324414677,0.31672577555544507,0.0333295832473703
uniform,9,57.70081049888771,10.504935555368904,59.232709965163636,10.212457837059286,221.4064162041872,0.26061038107258105,0.04744639173275341,0.26752932900796145,0.04612539244409734
uniform,10,56.45643243507163,10.860190744343502,56.40268823203387,11.746648571450773,244.69193226422038,0.23072453559322711,0.044383117350254846,0.23050489531926938,0.04800586787947976
