N,m_peak,gamma_peak,gamma_final,drop_after_peak_pct,final_recovery,oracle_final_recovery
1000,8,41.28118334186468,37.30348493290195,9.635621091628954,0.15245081677895836,0.13756278159391908
10000,9,54.19992113346897,52.44603296420227,3.2359607405104907,0.21433494957884677,0.21259674213636964
100000,9,73.63347908554097,71.4046345732954,3.0269444550573232,0.29181442114810746,0.28905622017849303
