m_Dropped,Empirical_Gamma,Oracle_Gamma,Iteration,N_Samples,Theoretical
2,10.321909365261446,6.511682757040405,4,1000,6.6858944422792685
3,21.35337388960926,13.101550080014494,4,1000,14.879731724872837
4,32.033379678297145,22.615170139731276,4,1000,29.964100047397025
5,43.88964154624337,36.99807096473143,4,1000,54.598150033144236
6,58.5156480819595,48.60994206506405,4,1000,90.01713130052181
7,69.06158568915846,58.76245678094371,4,1000,134.28977968493552
8,74.8135608782868,62.776489925859806,4,1000,181.27224187515122
9,76.04188240535906,66.0372831948898,4,1000,221.40641620418717
10,74.22243572301757,64.0154793618494,4,1000,244.69193226422038
1,3.3497646520630764,2.717682802171726,4,10000,2.718281828459045
2,7.916639285760165,6.492023459157831,4,10000,6.6858944422792685
3,15.418355318491761,12.5982026892035,4,10000,14.879731724872837
4,22.73278594357535,23.17698804924778,4,10000,29.964100047397025
5,31.341999507316594,30.20351498788984,4,10000,54.598150033144236
6,39.70244314278637,38.16839834537559,4,10000,90.01713130052181
7,43.59530987122671,42.34233903046141,4,10000,134.28977968493552
8,45.81317089840827,46.968975410102736,4,10000,181.27224187515122
9,47.3581701729201,48.61097618466397,4,10000,221.40641620418717
10,48.30564916419897,49.56844413398738,4,10000,244.69193226422038
1,3.2388024494013217,2.718240589141547,4,100000,2.718281828459045
2,7.9736177938912,6.623921097288676,4,100000,6.6858944422792685
3,16.042629539539615,14.391801445795199,4,100000,14.879731724872837
4,26.012331341737262,26.427705042934896,4,100000,29.964100047397025
5,36.1013306070976,35.98962833819262,4,100000,54.598150033144236
6,49.969191680139765,46.93373580802914,4,100000,90.01713130052181
7,58.28825128961204,61.222636187174764,4,100000,134.28977968493552
8,58.54945001326254,59.873453268363555,4,100000,181.27224187515122
9,62.938099267733165,62.14929185473029,4,100000,221.40641620418717
10,64.2271698823569,60.467727673755775,4,100000,244.69193226422038
1,3.2320926182236627,2.7133464897048634,5,1000,2.718281828459045
2,6.739438258092341,6.11657367928879,5,1000,6.6858944422792685
3,11.626852165023717,13.280890494167288,5,1000,14.879731724872837
4,18.27367983450643,21.874289471985026,5,1000,29.964100047397025
5,28.47610910435494,35.88068426071201,5,1000,54.598150033144236
6,32.24912254978496,41.41574599913622,5,1000,90.01713130052181
7,32.82299977907149,43.59441671337132,5,1000,134.28977968493552
8,32.24768253131716,39.57836111511517,5,1000,181.27224187515122
9,31.764759830811336,34.51693557357841,5,1000,221.40641620418717
10,29.15398954061233,29.90517042936823,5,1000,244.69193226422038
1,2.929924632658489,2.7181719305827183,5,10000,2.718281828459045
2,7.40234414485323,6.55977097712408,5,10000,6.6858944422792685
3,15.068833851023186,13.624960224240139,5,10000,14.879731724872837
4,23.784894334513282,22.476191510172946,5,10000,29.964100047397025
5,34.167054989406566,31.562618288100435,5,10000,54.598150033144236
6,45.95850701586315,40.954150374164804,5,10000,90.01713130052181
7,54.208018488953954,49.40265813258473,5,10000,134.28977968493552
8,62.02467367797593,56.893813277990596,5,10000,181.27224187515122
9,64.1143962790853,61.61339372235381,5,10000,221.40641620418717
10,62.22877519093575,56.86121057648884,5,10000,244.69193226422038
1,3.25144916363527,2.7182622975173123,5,100000,2.718281828459045
2,7.804023899512928,6.637656453481245,5,100000,6.6858944422792685
3,15.47423837288162,14.434677675233948,5,100000,14.879731724872837
4,28.03315693598739,26.865886876228696,5,100000,29.964100047397025
5,44.51312818540952,42.855451220232524,5,100000,54.598150033144236
6,57.05835947794015,57.81271116711723,5,100000,90.01713130052181
7,58.572436558831384,59.901222614934454,5,100000,134.28977968493552
8,61.58321271395507,61.88501680589677,5,100000,181.27224187515122
9,65.47345063359104,67.27973578574304,5,100000,221.40641620418717
10,64.63167630781598,63.57005843450947,5,100000,244.69193226422038
1,2.9830583194410214,2.715439167134847,6,1000,2.718281828459045
2,7.707028938264832,6.539711328636469,6,1000,6.6858944422792685
3,12.933197525454313,12.62146915239991,6,1000,14.879731724872837
4,23.223622772838773,20.252790955430623,6,1000,29.964100047397025
5,27.30199918928421,26.287036810319993,6,1000,54.598150033144236
6,31.287816859820794,30.660870084244443,6,1000,90.01713130052181
7,34.26627650208419,34.15729909420582,6,1000,134.28977968493552
8,35.2070595997124,36.490487220141446,6,1000,181.27224187515122
9,32.26791693522694,32.161498912551124,6,1000,221.40641620418717
10,28.866263643157936,28.508047739001704,6,1000,244.69193226422038
1,2.990157840672191,2.718232543081772,6,10000,2.718281828459045
2,7.061587839080271,6.586236073694793,6,10000,6.6858944422792685
3,15.2340094168013,13.615314919195178,6,10000,14.879731724872837
4,27.679822895189755,22.66517228851219,6,10000,29.964100047397025
5,44.764315975952606,40.83712415406685,6,10000,54.598150033144236
6,66.21346662691855,63.35552172085558,6,10000,90.01713130052181
7,70.06756193184056,69.03644239339447,6,10000,134.28977968493552
8,71.67652081033862,69.51782440265274,6,10000,181.27224187515122
9,71.41863464165151,69.35194483518434,6,10000,221.40641620418717
10,67.75776201571249,63.76641637991407,6,10000,244.69193226422038
1,3.389824027626384,2.718170388996532,6,100000,2.718281828459045
2,8.127303545890253,6.612933361321307,6,100000,6.6858944422792685
3,15.036481629532986,14.436141830469756,6,100000,14.879731724872837
4,25.91524311992105,25.548473163653945,6,100000,29.964100047397025
5,37.11649366686036,35.89049083470727,6,100000,54.598150033144236
6,47.96441125373793,49.07423751253855,6,100000,90.01713130052181
7,56.085578266483594,54.15637667160158,6,100000,134.28977968493552
8,66.78118590421546,67.61885887015409,6,100000,181.27224187515122
9,75.46568033431649,79.01907729012773,6,100000,221.40641620418717
10,72.64439793317823,75.45198483783582,6,100000,244.69193226422038
1,3.3370697911114355,2.7166173589787657,7,1000,2.718281828459045
2,7.560542004744351,5.840840315726444,7,1000,6.6858944422792685
3,13.441525069678288,11.887016169034696,7,1000,14.879731724872837
4,20.27407254741687,15.809343162119207,7,1000,29.964100047397025
5,26.250431456449782,22.126024902135878,7,1000,54.598150033144236
6,30.424734171982998,24.623294720434327,7,1000,90.01713130052181
7,34.043759121174496,26.879892620209958,7,1000,134.28977968493552
8,34.71228697896191,28.651780316453337,7,1000,181.27224187515122
9,30.395716297977604,26.174324841655352,7,1000,221.40641620418717
10,25.29562694692002,20.611857039037165,7,1000,244.69193226422038
1,3.222338059095143,2.7181994034083106,7,10000,2.718281828459045
2,7.955999449959584,6.482448683614041,7,10000,6.6858944422792685
3,15.459772237688007,13.75345559923263,7,10000,14.879731724872837
4,27.275962813438152,25.530438582421965,7,10000,29.964100047397025
5,43.9854229640191,45.46479686424389,7,10000,54.598150033144236
6,43.98118499090229,46.21386474608805,7,10000,90.01713130052181
7,44.624043225208545,45.74876728999116,7,10000,134.28977968493552
8,47.38942004032256,47.26119493909797,7,10000,181.27224187515122
9,49.80449332569932,50.19740880851983,7,10000,221.40641620418717
10,47.86019407564114,47.16306314723874,7,10000,244.69193226422038
1,3.3023974161367504,2.718275579255197,7,100000,2.718281828459045
2,7.830014575447299,6.6621692601588265,7,100000,6.6858944422792685
3,16.018845730601292,14.141910962690417,7,100000,14.879731724872837
4,28.461495565481595,27.20845085683189,7,100000,29.964100047397025
5,42.120952021706216,44.94352187373151,7,100000,54.598150033144236
6,57.91826848420224,56.95533646537301,7,100000,90.01713130052181
7,66.30632276020926,64.79489225099215,7,100000,134.28977968493552
8,70.24630826561362,69.69182840214518,7,100000,181.27224187515122
9,74.51367808070032,72.53559312538874,7,100000,221.40641620418717
10,74.264810118326,71.4382860274848,7,100000,244.69193226422038
1,2.4889865962913107,2.717559546471055,8,1000,2.718281828459045
2,5.439118491807575,6.351380936275643,8,1000,6.6858944422792685
3,10.5279246344977,10.719467239413305,8,1000,14.879731724872837
4,15.927611630336164,16.834019413557343,8,1000,29.964100047397025
5,25.060725895629282,25.458933383628885,8,1000,54.598150033144236
6,30.923192621250443,36.454308381793965,8,1000,90.01713130052181
7,35.81645792212855,41.909227740621304,8,1000,134.28977968493552
8,35.74112128643193,45.70678400929402,8,1000,181.27224187515122
9,34.92533248451844,46.38059274487911,8,1000,221.40641620418717
10,28.13307670537558,37.36036189693852,8,1000,244.69193226422038
1,3.1602717023985707,2.718212203883375,8,10000,2.718281828459045
2,7.80897984563275,6.553418150125649,8,10000,6.6858944422792685
3,16.16588762825385,13.430478356422677,8,10000,14.879731724872837
4,28.50217246187657,23.12154430383259,8,10000,29.964100047397025
5,34.60944739082145,32.24279910172823,8,10000,54.598150033144236
6,41.66601364343321,41.52286396014044,8,10000,90.01713130052181
7,49.199641238052905,47.14594173225841,8,10000,134.28977968493552
8,57.06764576153528,55.931337418709575,8,10000,181.27224187515122
9,59.82035766916496,58.67944840980272,8,10000,221.40641620418717
10,58.799516069529304,57.08065213604258,8,10000,244.69193226422038
1,3.349411969571033,2.718245381955575,8,100000,2.718281828459045
2,7.874444135549367,6.66395276232317,8,100000,6.6858944422792685
3,15.49234867855886,13.938906501635495,8,100000,14.879731724872837
4,27.89687075037427,25.558018041923223,8,100000,29.964100047397025
5,42.510124614619336,39.2297181187067,8,100000,54.598150033144236
6,60.36227143799193,60.283413652749935,8,100000,90.01713130052181
7,79.71446611346829,85.23009907595447,8,100000,134.28977968493552
8,83.2174571866284,89.82132615853087,8,100000,181.27224187515122
9,82.76413697528912,89.24920589332287,8,100000,221.40641620418717
10,70.57843782076768,69.37563022265687,8,100000,244.69193226422038
1,3.943169700467282,2.7177070820720632,9,1000,2.718281828459045
2,9.834702261931113,6.409006536821683,9,1000,6.6858944422792685
3,18.054009460318014,11.974908558887757,9,1000,14.879731724872837
4,30.746034009083203,19.448379363269346,9,1000,29.964100047397025
5,46.74080678341787,31.390127937042415,9,1000,54.598150033144236
6,48.308891796615704,32.092281498422686,9,1000,90.01713130052181
7,48.74011534296632,32.75636883387047,9,1000,134.28977968493552
8,48.036866724179845,31.976394773374874,9,1000,181.27224187515122
9,43.739045480672864,29.06145953454012,9,1000,221.40641620418717
10,37.71195910023402,25.949931348621927,9,1000,244.69193226422038
1,3.0733288636028777,2.7182507753356253,9,10000,2.718281828459045
2,7.030722732473483,6.502704832880474,9,10000,6.6858944422792685
3,12.774380641915938,12.305027475701523,9,10000,14.879731724872837
4,20.29673296200302,20.446146952610306,9,10000,29.964100047397025
5,32.655961625471335,34.625001594129394,9,10000,54.598150033144236
6,37.24272922168708,40.90173367017833,9,10000,90.01713130052181
7,38.170931413063876,42.65004325165777,9,10000,134.28977968493552
8,40.92173332146316,41.08817310489885,9,10000,181.27224187515122
9,42.213880626032626,43.78172530712612,9,10000,221.40641620418717
10,42.08564877333544,43.492468975378976,9,10000,244.69193226422038
1,3.353881567882828,2.7182740125820852,9,100000,2.718281828459045
2,8.059589761925041,6.646443692393994,9,100000,6.6858944422792685
3,16.56372721209188,14.175073567949656,9,100000,14.879731724872837
4,28.075988052279474,26.951629095490244,9,100000,29.964100047397025
5,38.260136254644976,37.139663059717606,9,100000,54.598150033144236
6,56.63412023248082,59.55391623312434,9,100000,90.01713130052181
7,63.91358476780712,69.30695242746481,9,100000,134.28977968493552
8,70.1694836766479,74.0288791054888,9,100000,181.27224187515122
9,71.366879008392,69.64401497906691,9,100000,221.40641620418717
10,66.836741306758,64.46919703163478,9,100000,244.69193226422038
1,2.876647271251822,2.714931612401941,10,1000,2.718281828459045
2,6.4804168743382755,6.036758523768542,10,1000,6.6858944422792685
3,10.886408799909837,11.641644749969528,10,1000,14.879731724872837
4,16.543597601248276,21.536657139911146,10,1000,29.964100047397025
5,24.658604354267485,32.763948247947624,10,1000,54.598150033144236
6,29.90408522296492,39.63526290122742,10,1000,90.01713130052181
7,34.40608962719355,47.31171964333004,10,1000,134.28977968493552
8,35.51684253987882,48.82226187538989,10,1000,181.27224187515122
9,36.12852111078015,50.16532967019621,10,1000,221.40641620418717
10,36.114137292271835,50.46725852987927,10,1000,244.69193226422038
1,3.315232152452589,2.718203178237852,10,10000,2.718281828459045
2,8.646264076373821,6.482512579520635,10,10000,6.6858944422792685
3,15.655924689490966,13.117313038083973,10,10000,14.879731724872837
4,26.437019367306842,24.580622832716312,10,10000,29.964100047397025
5,33.09745937356483,30.524999379484573,10,10000,54.598150033144236
6,40.69369794671194,37.77650982574021,10,10000,90.01713130052181
7,43.828478389675645,45.461833029197315,10,10000,134.28977968493552
8,48.928215592254936,52.94660990272456,10,10000,181.27224187515122
9,57.26636813827162,61.16077691978881,10,10000,221.40641620418717
10,53.11284163481679,55.72972054492816,10,10000,244.69193226422038
1,3.3035128819147612,2.7182728760477635,10,100000,2.718281828459045
2,8.030018228471693,6.660391838833884,10,100000,6.6858944422792685
3,16.385185044988642,14.200407300603503,10,100000,14.879731724872837
4,26.534829399750446,25.24240410106041,10,100000,29.964100047397025
5,40.25002450466393,39.59004684551052,10,100000,54.598150033144236
6,51.681225499280224,49.80214895774421,10,100000,90.01713130052181
7,62.24184726761502,58.98939937874881,10,100000,134.28977968493552
8,63.714094441462734,60.78085042289105,10,100000,181.27224187515122
9,73.68917790661142,68.3257707403754,10,100000,221.40641620418717
10,79.01348497638568,74.4118112228764,10,100000,244.69193226422038
