DGP,m_peak,gamma_peak,gamma_final,final_recovery,oracle_gamma_final,oracle_final_recovery
beta_bell,9,10.864696248439968,10.710293771295584,0.04377052268209038,10.07617965064101,0.04117904320507252
beta_u,10,192.96092144903932,192.96092144903932,0.7885871825176423,193.0191626770606,0.7888252011048608
uniform,9,57.70081049888771,56.45643243507163,0.23072453559322711,56.40268823203387,0.23050489531926938
