Dataset,m_Dropped,Gamma,Gamma_SD,Theoretical,Recovery,Recovery_SD
corners,1,3.813698440678369,0.3124072599669607,2.718281828459045,1.4029812511531594,0.11492820821454701
corners,2,10.665844610264738,1.2665523314398597,6.6858944422792685,1.595275651200481,0.18943648338666902
corners,3,23.97436784082686,3.5032784199429647,14.879731724872837,1.611209683354136,0.23543962248236727
corners,4,44.016591664954575,5.772296877190118,29.96410004739703,1.4689775963679672,0.1926404219736129
corners,5,74.68589718829746,9.839534276972511,54.598150033144236,1.3679199229819838,0.18021735665035069
corners,6,114.16029213388856,14.88697445659633,90.01713130052181,1.2682062901200983,0.1653793477032303
corners,7,157.01523143596276,21.806839508205872,134.28977968493552,1.1692269642883073,0.16238644191216978
corners,8,201.13495356680943,28.99089567092803,181.27224187515122,1.1095739286180306,0.15993014358422905
corners,9,238.6842113254545,31.463569657752874,221.4064162041872,1.078036560175082,0.14210775910277276
corners,10,257.81018425876385,33.91545597834367,244.69193226422038,1.0536112975738745,0.13860471681478032
standard,1,3.2973603713968407,0.20044260650911155,2.718281828459045,1.2130310907703294,0.07373871406951939
standard,2,8.045646817241304,0.7938153698388178,6.6858944422792685,1.2033762852077703,0.11872986878449746
standard,3,15.961648780275528,2.2398903274744275,14.879731724872837,1.072710790450218,0.15053297793872486
standard,4,25.848147393181442,3.4758543576816208,29.96410004739703,0.8626372009269427,0.11600062582168447
standard,5,37.762428777203105,5.8715729354205415,54.598150033144236,0.6916430090447959,0.10754160959402757
standard,6,49.77304766641952,7.505234380535547,90.01713130052181,0.5529286142240238,0.08337562275206652
standard,7,60.29880257330825,12.255103083184878,134.28977968493552,0.4490200424394062,0.09125864315167717
standard,8,65.63338633824512,16.250033102369706,181.27224187515122,0.3620708038876091,0.0896443544487175
standard,9,67.77548900853559,16.563363645910194,221.4064162041872,0.30611348203220606,0.07480977258868143
standard,10,64.88502718228155,17.129656916790804,244.69193226422038,0.26517027587251285,0.07000499263822911
