m_Dropped,Gamma,Theoretical,Recovery,Dataset,Iteration
7,156.1338657885098,134.28977968493552,1.1626638017786899,corners,6
8,193.20022186363227,181.27224187515122,1.065801470016001,corners,6
9,231.0094458541623,221.40641620418717,1.043372860708422,corners,6
10,242.08662978803184,244.69193226422038,0.9893527242517529,corners,6
1,3.495081162784237,2.718281828459045,1.2857685050139,standard,7
2,8.452506571592112,6.6858944422792685,1.2642297368832813,standard,7
3,17.007065247109782,14.879731724872837,1.1429685401303917,standard,7
4,29.731674492840494,29.964100047397025,0.9922431992221064,standard,7
5,47.34024111262238,54.598150033144236,0.8670667611243992,standard,7
6,58.269204303454316,90.01713130052181,0.6473123888932077,standard,7
7,74.12935640683452,134.28977968493552,0.5520104104776505,standard,7
8,91.3571003216277,181.27224187515122,0.5039773292181637,standard,7
9,90.30361528609046,221.40641620418717,0.40786358785018206,standard,7
10,85.3657102585921,244.69193226422038,0.3488701465090132,standard,7
1,3.9224649315900573,2.718281828459045,1.44299420704793,corners,7
2,11.434998992179251,6.6858944422792685,1.7103170100724743,corners,7
3,26.714176872860794,14.879731724872837,1.7953399541609742,corners,7
4,49.8020731032377,29.964100047397025,1.6620580302582455,corners,7
5,88.19835111725426,54.598150033144236,1.615409149645414,corners,7
6,140.76867607794264,90.01713130052181,1.5637987352428175,corners,7
7,192.95456369416456,134.28977968493552,1.4368521874625577,corners,7
8,256.3799997634585,181.27224187515122,1.4143367848897501,corners,7
9,295.88790686974636,221.40641620418717,1.3364016813174477,corners,7
10,329.79767601273124,244.69193226422038,1.347807722800656,corners,7
1,3.2501470440271203,2.718281828459045,1.1956622782817121,standard,8
2,7.251198170150156,6.6858944422792685,1.0845516980190568,standard,8
3,13.525356222462825,14.879731724872837,0.908978499918379,standard,8
4,21.663021832280226,29.964100047397025,0.7229658757651254,standard,8
5,32.20559899431075,54.598150033144236,0.5898661213751764,standard,8
6,45.5130909961229,90.01713130052181,0.5056047703206363,standard,8
7,46.616624240513,134.28977968493552,0.3471345648930452,standard,8
8,48.77681032971233,181.27224187515122,0.2690804164230875,standard,8
9,48.74934457372798,221.40641620418717,0.220180360666558,standard,8
10,43.912368484519895,244.69193226422038,0.17945981331784552,standard,8
1,3.5866347650606247,2.718281828459045,1.31944919305657,corners,8
2,9.596757513059748,6.6858944422792685,1.4353737702427958,corners,8
3,20.430688996895327,14.879731724872837,1.373054929662714,corners,8
4,41.091204197978,29.964100047397025,1.3713478506940036,corners,8
5,69.87607311931983,54.598150033144236,1.2798249222162474,corners,8
6,113.21866992611875,90.01713130052181,1.2577458122736516,corners,8
7,156.89839052154034,134.28977968493552,1.168356898712978,corners,8
8,204.45084622276306,181.27224187515122,1.1278662640669264,corners,8
9,240.4882177246057,221.40641620418717,1.0861845010978397,corners,8
10,256.39035601500984,244.69193226422038,1.047808784059776,corners,8
1,3.1170326230709096,2.718281828459045,1.1466922194884812,standard,9
2,7.207802470841995,6.6858944422792685,1.0780610631933345,standard,9
3,12.69403204686752,14.879731724872837,0.8531089324445467,standard,9
4,20.70906639846744,29.964100047397025,0.6911292635423713,standard,9
5,30.22157005513872,54.598150033144236,0.5535273637805032,standard,9
6,42.26251324182854,90.01713130052181,0.4694941133008929,standard,9
7,53.7851085964783,134.28977968493552,0.4005152791423624,standard,9
8,54.491572813356804,181.27224187515122,0.30060627181345906,standard,9
9,54.315799395096725,221.40641620418717,0.24532170443066645,standard,9
10,53.23445549551713,244.69193226422038,0.2175570522612659,standard,9
1,3.6020131359279812,2.718281828459045,1.3251065795373804,corners,9
2,8.9796728011648,6.6858944422792685,1.3430772619412708,corners,9
3,17.521946659918157,14.879731724872837,1.1775714094783454,corners,9
4,32.361859501499126,29.964100047397025,1.0800210735616735,corners,9
5,58.676718946816344,54.598150033144236,1.0747015954056351,corners,9
6,93.94792092955926,90.01713130052181,1.0436671283815357,corners,9
7,127.54719110464694,134.28977968493552,0.9497907540238153,corners,9
8,164.17552463183907,181.27224187515122,0.905684857943737,corners,9
9,204.41736017516885,221.40641620418717,0.923267553306357,corners,9
10,225.1838979246963,244.69193226422038,0.9202751224406568,corners,9
1,3.323977004241054,2.718281828459045,1.222822802786924,standard,10
2,8.965494638636947,6.6858944422792685,1.3409566537488657,standard,10
3,18.838685704518635,14.879731724872837,1.2660635321151688,standard,10
4,31.17748217372325,29.964100047397025,1.0404945292669194,standard,10
5,44.521381057998695,54.598150033144236,0.8154375382860343,standard,10
6,58.71834326282528,90.01713130052181,0.6523018720380495,standard,10
7,72.57526161956527,134.28977968493552,0.5404377145441596,standard,10
8,79.24239712269016,181.27224187515122,0.43714578858282827,standard,10
9,88.74060842113153,221.40641620418717,0.40080414083073573,standard,10
10,88.68797009164147,244.69193226422038,0.3624474631058758,standard,10
1,3.8627343878039957,2.718281828459045,1.4210205679790473,corners,10
2,11.577465415485342,6.6858944422792685,1.7316255162919536,corners,10
3,25.48477585575345,14.879731724872837,1.7127174284435054,corners,10
4,45.26935145243003,29.964100047397025,1.5107862869508264,corners,10
5,77.07514472204144,54.598150033144236,1.4116805180258374,corners,10
6,114.579704538429,90.01713130052181,1.272865541070234,corners,10
7,151.06985343450103,134.28977968493552,1.1249542131123764,corners,10
8,196.50520696628828,181.27224187515122,1.0840336332444576,corners,10
9,229.1147455495941,221.40641620418717,1.0348152934208468,corners,10
10,250.8715306000573,244.69193226422038,1.0252546059800784,corners,10
