N_Samples,m_Dropped,Theoretical,Empirical_Gamma,Empirical_Gamma_SD,Oracle_Gamma,Oracle_Gamma_SD,Empirical_Recovery,Oracle_Recovery
1000,1,2.718281828459045,3.2610326487405636,0.505661167461354,2.7152305837264548,0.002468163016823554,1.199666868460507,0.9988775097928974
1000,2,6.6858944422792685,7.7429263589630635,1.5839412363802838,6.246921463895323,0.25167610705417653,1.1580988042526505,0.9343434177470658
1000,3,14.879731724872837,14.365165279786504,3.7776005761024147,12.165334340967348,0.910652922061089,0.9654182982193027,0.8175775320351962
1000,4,29.96410004739703,22.96742773326813,6.466937569455505,19.777543717444125,2.2311507833154605,0.766498166036637,0.6600413056344134
1000,5,54.598150033144236,31.638812148318948,8.481812476907871,28.463846939114944,5.618719672181324,0.5794850581771059,0.5213335419210311
1000,6,90.01713130052181,36.796090194948704,9.88729010339002,34.230071971780625,7.49807434324584,0.40876763859653686,0.38026175103829596
1000,7,134.28977968493552,40.293384568121965,11.5472416813691,38.16064485004858,9.942284352386142,0.300048035395221,0.2841664119159278
1000,8,181.27224187515122,41.28118334186468,13.018989368068851,39.32019174128843,10.773760559305506,0.22773030727063293,0.21691237077748327
1000,9,221.4064162041872,40.46729716770233,13.778532675073166,37.53271892827255,12.725906788846181,0.18277382318668783,0.16951956303587348
1000,10,244.69193226422038,37.30348493290195,14.631937419912624,33.66050283585699,13.58694009701253,0.15245081677895836,0.13756278159391908
10000,1,2.718281828459045,3.1834444924869754,0.1497715124863045,2.71807085360994,0.0002128809596413219,1.1711237808964143,0.99992238669041
10000,2,6.6858944422792685,7.670404454073553,0.528194771746909,6.519396324338111,0.05066925159651677,1.1472518030749315,0.9750971063963736
10000,3,14.879731724872837,14.88805568080185,1.3382194806959742,13.250375783911782,0.550514409842745,1.0005594157262323,0.8904982985521549
10000,4,29.96410004739703,24.60138022211951,3.0897427316631507,22.92103954991668,1.3807193748996616,0.8210285035494207,0.76495004067068
10000,5,54.598150033144236,35.66421849957284,5.140173218949202,34.541911232272,5.0154108206928765,0.6532129472870893,0.632657172657005
10000,6,90.01713130052181,44.13944696769489,8.668597667544281,43.42749145615468,7.399337198357191,0.4903449635640524,0.48243585225096963
10000,7,134.28977968493552,48.06750831337785,9.582055120969883,47.93139582249072,7.8284340966068555,0.35793869366791436,0.35692512069753296
10000,8,181.27224187515122,51.95032916171532,9.987892158810617,52.20562526373762,7.964839709613539,0.28658733750032944,0.28799569489350463
10000,9,221.4064162041872,54.19992113346897,10.132112481976748,54.83106524453327,8.368498121389369,0.24479833088253541,0.24764894434661067
10000,10,244.69193226422038,52.44603296420227,9.358535624149724,52.020707626426486,6.90175617330632,0.21433494957884677,0.21259674213636964
100000,1,2.718281828459045,3.312210087193683,0.046230870813501745,2.718252212510516,3.156559507263324e-05,1.2184939959192262,0.9999891049014054
100000,2,6.6858944422792685,8.066283999811317,0.2197010418436193,6.645224262493519,0.01686279514108997,1.2064629601094126,0.9939170173659091
100000,3,14.879731724872837,16.17947640671688,0.7126884883239759,14.236310496482911,0.20052257511468372,1.0873500077740919,0.9567585464384154
100000,4,29.96410004739703,27.216998889108453,1.2525614437802026,26.273902940143085,0.9731715451622086,0.908320251436111,0.8768460557327998
100000,5,54.598150033144236,40.13941805443561,2.7479899494230335,39.29678306124526,2.9497121852851746,0.7351790862889798,0.7197456880386943
100000,6,90.01713130052181,54.413318795124745,4.949319454256982,54.56027172000074,5.469837298150475,0.6044773701293158,0.6061098696630479
100000,7,134.28977968493552,63.90305041947259,7.108354312049548,64.89308709715662,9.023968431894168,0.47585937343406903,0.4832317637977051
100000,8,181.27224187515122,69.78844177256718,8.185000856553744,71.6627147778857,10.504391082655076,0.3849924348628789,0.39533198263881136
100000,9,221.4064162041872,73.63347908554097,7.871882608629552,74.75459960487339,11.0013664122393,0.33257156837602264,0.3376351999480115
100000,10,244.69193226422038,71.4046345732954,6.03045619678427,70.72972504846739,8.18570148469803,0.29181442114810746,0.28905622017849303
